Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Polo Nautico,https://www.hotelpolonautico.it,https://www.google.com/maps/search/?api=1&query=Hotel+Polo+Nautico+Salerno,Hotel 4 stelle,3,,,,2026-06-10,,No,Salerno,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,30 camere unico hotel sul lungomare di Salerno vista mare indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Polo Nautico; Hotel 4 stelle; Salerno; 30 camere unico hotel sul lungomare di Salerno vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Belvedere,https://belvederehotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Belvedere+Conca+dei+Marini,Hotel 4 stelle,3,belvedere@belvederehotel.it,,,2026-06-10,,No,Conca dei Marini,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,A picco sulla scogliera piscina acqua marina accesso privato spiaggia. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Belvedere; Hotel 4 stelle; Conca dei Marini; A picco sulla scogliera piscina acqua marina accesso privato spiaggia; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Santa Caterina,https://www.hotelsantacaterina.it,https://www.google.com/maps/search/?api=1&query=Hotel+Santa+Caterina+Amalfi,Hotel 5 stelle lusso,2,info@hotelsantacaterina.it,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Leading Hotels of the World storico sul mare ristorante stellato Glicine ascensore spiaggia ultra-luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Santa Caterina; Hotel 5 stelle lusso; Amalfi; Leading Hotels of the World storico sul mare ristorante stellato Glicine ascensore spiaggia ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Borgo Santandrea,https://borgosantandrea.it,https://www.google.com/maps/search/?api=1&query=Borgo+Santandrea+Amalfi,Hotel 5 stelle lusso,2,info@borgosantandrea.it,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Relais & Chateaux 29 camere 16 suite spiaggia privata riaperto 2022 ultra-luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Borgo Santandrea; Hotel 5 stelle lusso; Amalfi; Relais & Chateaux 29 camere 16 suite spiaggia privata riaperto 2022 ultra-luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Marina Riviera,https://www.marinariviera.it,https://www.google.com/maps/search/?api=1&query=Hotel+Marina+Riviera+Amalfi,Hotel 4 stelle,3,info@marinariviera.it,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Lungomare ingresso Amalfi vista mare gestione familiare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Marina Riviera; Hotel 4 stelle; Amalfi; Lungomare ingresso Amalfi vista mare gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Luna Convento,https://www.lunahotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Luna+Convento+Amalfi,Hotel 4 stelle,3,info@lunahotel.it,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Ex convento del 1200 chiostro arabo-normanno piscina acqua marina indipendente. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Luna Convento; Hotel 4 stelle; Amalfi; Ex convento del 1200 chiostro arabo-normanno piscina acqua marina indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Residence,https://www.residencehotel-amalfi.it,https://www.google.com/maps/search/?api=1&query=Hotel+Residence+Amalfi,Hotel 4 stelle,3,,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Palazzo '700 sul Duomo 27 camere vista mare ristrutturato 2010. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Residence; Hotel 4 stelle; Amalfi; Palazzo '700 sul Duomo 27 camere vista mare ristrutturato 2010; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Lidomare,http://www.lidomare.it,https://www.google.com/maps/search/?api=1&query=Hotel+Lidomare+Amalfi,Hotel 3 stelle / B&B,4,info@lidomare.it,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Edificio del 1300 vicino al Duomo 18 camere conduzione familiare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Lidomare; Hotel 3 stelle / B&B; Amalfi; Edificio del 1300 vicino al Duomo 18 camere conduzione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Lucibello,https://www.lucibello.it,https://www.google.com/maps/search/?api=1&query=Lucibello+Positano,Tour operator / escursioni in barca,3,info@lucibello.it,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Dal 1936 noleggio e tour privati in barca Capri e Costiera charter yacht. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Lucibello; Tour operator / escursioni in barca; Positano; Dal 1936 noleggio e tour privati in barca Capri e Costiera charter yacht; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
L'Uomo e il Mare Plaghia Charter,https://www.escursioniluomoeilmare.it,https://www.google.com/maps/search/?api=1&query=L%27Uomo+e+il+Mare+Plaghia+Charter+Positano,Tour operator / escursioni in barca,3,info@plaghiacharter.it,,,2026-06-10,,No,Positano,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Escursioni e tour privati in barca lungo la Costiera. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,L'Uomo e il Mare Plaghia Charter; Tour operator / escursioni in barca; Positano; Escursioni e tour privati in barca lungo la Costiera; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Amalfi Coast Destination,https://www.amalficoastdestination.com,https://www.google.com/maps/search/?api=1&query=Amalfi+Coast+Destination+Amalfi,Tour operator / DMC incoming,3,,,,2026-06-10,,No,Amalfi,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,DMC Amalfi shore excursions transfer tour su misura food wine incoming luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Amalfi Coast Destination; Tour operator / DMC incoming; Amalfi; DMC Amalfi shore excursions transfer tour su misura food wine incoming luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Palazzo Avino,https://www.palazzoavino.com,https://www.google.com/maps/search/?api=1&query=Palazzo+Avino+Ravello,Hotel 5 stelle lusso,2,info@palazzoavino.com,,,2026-06-10,,No,Ravello,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Palazzo Sasso XII sec 43 camere 10 suite vista golfo Leading Hotels ristorante stellato. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Palazzo Avino; Hotel 5 stelle lusso; Ravello; Palazzo Sasso XII sec 43 camere 10 suite vista golfo Leading Hotels ristorante stellato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Cimbrone,https://www.hotelvillacimbrone.com,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Cimbrone+Ravello,Hotel 5 stelle / dimora storica,2,info@villacimbrone.it,,,2026-06-10,,No,Ravello,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,Dimora XII sec giardini celebri hotel de charme panoramica luxury. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Villa Cimbrone; Hotel 5 stelle / dimora storica; Ravello; Dimora XII sec giardini celebri hotel de charme panoramica luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Rufolo,https://hotelrufolo.it,https://www.google.com/maps/search/?api=1&query=Hotel+Rufolo+Ravello,Hotel 4 stelle,3,info@hotelrufolo.it,,,2026-06-10,,No,Ravello,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Accanto a Villa Rufolo piscina con vista centro Ravello. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Rufolo; Hotel 4 stelle; Ravello; Accanto a Villa Rufolo piscina con vista centro Ravello; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Graal,https://www.hotelgraal.it,https://www.google.com/maps/search/?api=1&query=Hotel+Graal+Ravello,Hotel 4 stelle,3,info@hotelgraal.it,,,2026-06-10,,No,Ravello,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via della Repubblica vista mare piscina ristorante. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Graal; Hotel 4 stelle; Ravello; Via della Repubblica vista mare piscina ristorante; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Villa Fraulo,https://www.villafraulo.com,https://www.google.com/maps/search/?api=1&query=Hotel+Villa+Fraulo+Ravello,Hotel 4 stelle,3,reservations@villafraulo.com,,,2026-06-10,,No,Ravello,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via San Giovanni del Toro vicino Villa Rufolo dimora esclusiva centro Ravello. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Villa Fraulo; Hotel 4 stelle; Ravello; Via San Giovanni del Toro vicino Villa Rufolo dimora esclusiva centro Ravello; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
